,_id,leftStartingZone,climb,__v,metadata.scouterName,metadata.matchNumber,metadata.robotTeam,metadata.robotPosition,startingZone.start1,startingZone.start2,startingZone.start3,pickupLocation.source1,pickupLocation.source2,pickupLocation.ground1,pickupLocation.ground2,pickupLocation.ground3,placement.deposit1,placement.deposit2,placement.deposit3,placement.deposit4,placement.deposit5,placement.deposit6,autoCoral.L1,autoCoral.L2,autoCoral.L3,autoCoral.L4,autoAlgae.netRobot,autoAlgae.processor,autoAlgae.remove,teleCoral.L1,teleCoral.L2,teleCoral.L3,teleCoral.L4,teleAlgae.netRobot,teleAlgae.processor,teleAlgae.remove
10,67c34e9b114fd247353f8e84,False,none,0,Carlos,7,2658.0,red_3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,67c34e9b114fd247353f8e86,True,none,0,Carlos,8,5817.0,red_3,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1,0,0,1,0,2,2,0,0,0,0,0,0,0
12,67c34e9b114fd247353f8e93,True,park,0,Carlos,9,702.0,red_3,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,1,2,2,0,2
13,67c352cd114fd247353f8e98,True,park,0,,1,1388.0,red_2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,1,8,0,0,0
14,67c352cd114fd247353f8e9a,True,park,0,William,2,9452.0,red_2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,2
15,67c352cd114fd247353f8e9c,True,none,0,William,3,10147.0,red_2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,3,0,0,0,0,0,0
16,67c352cd114fd247353f8e9e,False,none,0,William,4,9772.0,red_2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,67c352cd114fd247353f8ea0,True,park,0,William,5,4.0,red_2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,2,5
18,67c352cd114fd247353f8ea2,False,none,0,William,6,988.0,red_2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,67c352cd114fd247353f8eaf,True,park,0,William,7,5515.0,red_2,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,67c352cd114fd247353f8eb1,True,none,0,William,8,6766.0,red_2,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,1,0,2,4,0,0,0
21,67c352cd114fd247353f8eb3,True,park,0,William,9,610.0,red_2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,2,3,3,0,0,1
22,67c352cd114fd247353f8eb5,True,park,0,William,10,4414.0,red_2,True,False,False,False,False,True,False,False,False,False,False,False,False,True,0,0,0,1,0,0,0,0,0,0,4,0,0,0
23,67c352cd114fd247353f8ebb,True,none,0,William,11,8015.0,red_2,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0,1,0,0,0,0,0,0,3,0,0,0
24,67c352cd114fd247353f8ebd,True,park,0,William,12,4.0,red_2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,2,0,0,0,0,0
25,67c352cd114fd247353f8ec8,True,none,0,Nathan,1,2375.0,blue_3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,1,3,0,0,0,1
26,67c352cd114fd247353f8eca,True,failed,0,Nathan,2,4400.0,blue_3,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,2,0,0,0,1,2,0,2,0,0,0
27,67c352cd114fd247353f8ecc,True,failed,0,Nathan,3,498.0,blue_3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0,2,0,0,0
28,67c352cd114fd247353f8ece,True,none,0,Nathan,4,114.0,blue_3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1
29,67c352cd114fd247353f8ed0,False,none,0,Nathan,5,2584.0,blue_3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,1,1,0,0,0,1,2,2,0,0,2
30,67c352cd114fd247353f8ed2,False,none,0,Nathan,6,8891.0,blue_3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,1,1,0,0,0
31,67c352cd114fd247353f8edf,True,park,0,Nathan,7,6658.0,blue_3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,67c352cd114fd247353f8ee1,True,deep,0,Nathan,8,2543.0,blue_3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,1
33,67c352cd114fd247353f8ee4,True,park,0,Nathan,9,3759.0,blue_3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,67c352cd114fd247353f8ee7,False,park,0,Nathan,10,6560.0,blue_3,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,67c352cd114fd247353f8ee9,True,park,0,Nathan,11,9599.0,blue_3,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,5,0,0,0,2
