,_id,defense,defended,comments,__v,metadata.scouterName,metadata.matchNumber,metadata.robotTeam,metadata.robotPosition,fouls.insideRobot,fouls.protectedZone,fouls.pinning,fouls.multiplePieces,fouls.other,break.mechanismDmg,break.batteryFall,break.commsFail,humanShooter.Success,humanShooter.Failed,fouls.cageFoul,break.bumperFall
296,67c3b6b5a522b4c28eabe43a,noDef,True,[],0,Bradley,47,2584,blue_2,0,0,0,0,0,0,0,0,,,,
297,67c3b6b5a522b4c28eabe43c,noDef,True,[],0,Bradley,47,5515,blue_3,0,0,0,0,0,0,0,0,,,,
298,67c3b6b5a522b4c28eabe43e,noDef,True,[],0,Bradley,48,10120,blue_2,0,0,0,0,0,0,0,0,1.0,0.0,,
299,67c3b6b5a522b4c28eabe440,noDef,True,[],0,Bradley,48,5817,blue_3,0,0,0,0,0,0,0,0,,,,
300,67c3b6b5a522b4c28eabe445,fullDef,False,[],0,Bradley,49,610,blue_1,0,0,0,0,0,0,0,0,,,,
301,67c3b6b6a522b4c28eabe44c,noDef,True,[],0,Bradley,49,3881,blue_2,0,0,0,0,0,0,0,0,0.0,0.0,,
302,67c3b6b6a522b4c28eabe452,noDef,False,[],0,Bradley,49,2102,blue_3,0,0,0,0,0,0,0,0,,,,
303,67c3b6b6a522b4c28eabe454,someDef,True,['ineffective_defense'],0,Bradley,50,5025,blue_1,0,0,0,0,0,1,0,0,,,,
304,67c3b6b6a522b4c28eabe456,noDef,True,[],0,Bradley,50,8015,blue_2,0,0,0,0,0,0,0,0,,,,
305,67c3b6b6a522b4c28eabe458,noDef,True,[],0,Bradley,50,9452,blue_3,0,0,0,0,0,0,0,0,0.0,0.0,,
306,67c3b6b6a522b4c28eabe45f,noDef,False,[],0,Bradley,51,2543,blue_1,0,0,0,0,0,0,0,0,0.0,0.0,,
307,67c3b6b7a522b4c28eabe463,noDef,False,[],0,Bradley,51,9599,blue_2,0,0,0,0,0,0,0,0,,,,
308,67c3b6b7a522b4c28eabe465,someDef,False,['ineffective_defense'],0,Bradley,51,2658,blue_3,0,0,0,0,0,1,0,0,,,,
309,67c3b6b7a522b4c28eabe46d,noDef,False,[],0,Bradley,52,2839,blue_1,0,0,0,0,0,0,0,0,,,,
310,67c3b6b7a522b4c28eabe46f,noDef,False,[],0,Bradley,52,498,blue_2,0,0,0,0,0,0,0,0,0.0,0.0,,
311,67c3b6b7a522b4c28eabe475,noDef,False,"['great_driving', 'sturdy_build']",0,Bradley,52,4201,blue_3,0,0,0,0,0,0,0,0,,,,
312,67c3b6b7a522b4c28eabe477,noDef,False,[],0,Bradley,53,6560,blue_1,0,0,0,0,0,0,0,0,0.0,0.0,,
313,67c3b6b7a522b4c28eabe479,noDef,False,[],0,Bradley,53,6885,blue_2,0,0,0,0,0,1,0,0,,,,
314,67c3b6b7a522b4c28eabe47b,noDef,False,[],0,Bradley,53,6766,blue_3,0,0,0,0,0,0,0,0,,,,
315,67c3b703a522b4c28eabe492,noDef,False,[],0,Mmasi,52,2839,blue_1,0,0,0,0,0,0,0,0,,,,
316,67c3b703a522b4c28eabe494,noDef,False,[],0,Mmasi,52,498,blue_2,0,0,0,0,0,0,0,0,,,,
317,67c3b703a522b4c28eabe496,noDef,False,[],0,Mmasi,52,4201,blue_3,0,0,0,0,0,0,0,0,,,,
318,67c3b703a522b4c28eabe498,noDef,False,[],0,Mmasi,53,6560,blue_1,0,0,0,0,0,0,0,0,,,,
319,67c3b703a522b4c28eabe49a,noDef,False,[],0,Mmasi,53,6885,blue_2,0,0,0,0,0,0,0,0,,,,
320,67c3b703a522b4c28eabe4a0,noDef,False,[],0,Mmasi,53,6766,blue_3,0,2,0,0,0,0,0,0,,,,
321,67c3b820a522b4c28eabe4aa,noDef,False,[],0,Mmasi,54,8891,blue_1,0,0,0,0,0,0,0,0,,,,
322,67c3b820a522b4c28eabe4ac,noDef,False,[],0,Mmasi,54,5137,blue_2,0,0,0,0,0,0,0,0,,,,
323,67c3b820a522b4c28eabe4ae,someDef,False,[],0,Mmasi,54,10120,blue_3,0,0,0,0,0,0,0,0,,,,
324,67c3bc6ea522b4c28eabe4ca,noDef,False,[],0,Mmasi,55,2375,blue_1,0,0,0,0,0,0,0,0,,,,
325,67c3bc6ea522b4c28eabe4cd,noDef,False,[],0,Mmasi,55,5817,blue_2,0,0,0,0,0,0,0,0,,,,
326,67c3bc6ea522b4c28eabe4cf,noDef,False,[],0,Mmasi,55,9452,blue_3,0,0,0,0,0,0,0,0,,,,
327,67c3bc6ea522b4c28eabe4d1,fullDef,False,[],0,Mmasi,56,988,blue_1,0,0,0,0,0,0,0,0,,,,
328,67c3bc6ea522b4c28eabe4d3,noDef,False,[],0,Mmasi,56,2102,blue_2,0,0,0,0,0,0,0,0,,,,
329,67c3bc6ea522b4c28eabe4d8,noDef,False,[],0,Mmasi,56,2485,blue_3,0,0,0,0,0,0,0,0,,,,
330,67c3bc80a522b4c28eabe4e2,noDef,False,[],0,Bradley,54,8891,blue_1,0,0,0,0,0,0,0,0,0.0,0.0,,
331,67c3bc80a522b4c28eabe4e4,noDef,False,[],0,Bradley,54,5137,blue_2,0,0,0,0,0,0,0,0,,,,
332,67c3bc80a522b4c28eabe4e6,noDef,False,[],0,Bradley,54,10120,blue_3,0,0,0,0,0,0,0,0,,,,
333,67c3bc80a522b4c28eabe4e8,noDef,False,[],0,Bradley,55,2375,blue_1,0,0,0,0,0,0,0,0,,,,
334,67c3bc80a522b4c28eabe4ea,noDef,False,[],0,Bradley,55,5817,blue_2,0,0,0,0,0,0,0,0,,,,
335,67c3bc80a522b4c28eabe4ec,noDef,False,[],0,Bradley,55,9452,blue_3,0,0,0,0,0,0,0,0,0.0,0.0,,
336,67c3bc80a522b4c28eabe4f9,fullDef,False,[],0,Bradley,56,988,blue_1,0,0,0,0,0,0,0,0,0.0,0.0,,
337,67c3bc80a522b4c28eabe4fb,noDef,False,[],0,Bradley,56,2102,blue_2,0,0,0,0,0,0,0,0,,,,
338,67c3bc80a522b4c28eabe4fd,noDef,False,[],0,Bradley,56,2485,blue_3,0,0,0,0,0,0,0,0,,,,
339,67c3cfcb4d6a3d5d0ede95d4,noDef,False,[],0,vanessa,52,3598,red_1,0,0,0,0,0,0,0,0,,,,
340,67c3cfcb4d6a3d5d0ede95d6,noDef,False,[],0,vanessa,52,3863,red_2,0,0,0,0,0,0,0,0,,,,
341,67c3cfcb4d6a3d5d0ede95d9,noDef,False,['algae stuck'],0,vanessa,52,4,red_3,0,0,0,0,0,0,0,0,2.0,0.0,,
342,67c3d1684d6a3d5d0ede95e0,noDef,False,['algae stuck'],0,vanessa,53,1388,red_1,0,0,0,0,0,0,0,0,,,,
343,67c3d1684d6a3d5d0ede95e2,noDef,False,[],0,vanessa,53,399,red_2,0,0,0,0,0,0,0,0,0.0,0.0,,
344,67c3d1684d6a3d5d0ede95e5,noDef,False,[],0,vanessa,53,1159,red_3,0,0,0,0,1,0,0,0,,,,
345,67c3d2404d6a3d5d0ede95ec,noDef,False,[],0,vanessa,54,8768,red_1,0,0,0,0,0,0,0,0,,,,
346,67c3d2404d6a3d5d0ede95ee,noDef,False,[],0,vanessa,54,1452,red_2,0,0,0,0,0,0,0,0,,,,
347,67c3d2404d6a3d5d0ede95f1,noDef,False,[],0,vanessa,54,3881,red_3,0,0,0,0,0,0,0,0,,,,
348,67c3d3314d6a3d5d0ede95f8,noDef,False,[],0,vanessa,55,5025,red_1,0,0,0,0,0,0,0,0,,,,
349,67c3d3314d6a3d5d0ede95fa,noDef,False,[],0,vanessa,55,2584,red_2,0,0,0,0,0,0,0,0,,,,
350,67c3d3314d6a3d5d0ede95fd,noDef,False,[],0,vanessa,55,9772,red_3,0,0,0,0,0,0,0,0,,,,
351,67c3d3614d6a3d5d0ede9604,noDef,False,[],0,vanessa,56,702,red_1,0,0,0,0,0,0,0,0,,,,
352,67c3d3614d6a3d5d0ede9606,noDef,False,[],0,vanessa,56,5515,red_2,0,0,0,0,0,0,0,0,,,,
353,67c3d3614d6a3d5d0ede9609,noDef,False,[],0,vanessa,56,3759,red_3,0,0,0,0,0,0,0,0,0.0,0.0,,
